Surname	Given names	Date of Birth	Place of Birth	Selection	Position	Status	Flights	d	h	m	Marital status	Children	Nation	Date of Death	Place of Death
Proctor	Sian Hayley	28.03.1970	Agana, Guam	??.??.20??	Tourist	Ret. 18.09.2021	1	2	23	3	divorced	 	USA	 	 
Puz	Craig Anton	24.06.1954	Pasadena / California	??.09.1982	MSE	Ret. ??.09.1990	 	0	0	0	married	one	USA	21.12.2008	Golden / Colorado
Readdy	William Francis "Bill"	24.01.1952	Quonset Point / Rhode Island	05.06.1987	CDR	Ret. 14.10.2005	3	28	0	43	married	three	USA	 	 
Reightler	Kenneth Stanley, Jr.	24.03.1951	Patuxent River / Maryland	05.06.1987	PLT	Ret. ??.07.1995	2	13	15	36	married	two	USA	 	 
Reilly	James Francis II "J.R."	18.03.1954	Mountain Home AFB / Idaho	08.12.1994	MSP	Ret. ??.05.2008	3	35	10	33	married	three	USA	 	 
Reisman	Garrett Erin "Big G"	10.02.1968	Morristown / New Jersey	04.06.1998	MSP	Ret. ??.03.2011	2	107	3	15	married	two	USA	 	 
Resnik	Judith Arlene "J.R."	05.04.1949	Akron / Ohio	16.01.1978	MSP	died 28.01.1986	1	6	0	56	divorced	 	USA	28.01.1986	Cape Canaveral / Florida
Richards	Paul William	20.05.1964	Scranton / Pennsylvania	01.05.1996	MSP	Ret. ??.02.2002	1	12	19	49	married	four	USA	 	 
Richards	Richard Noel "Dick"	24.08.1946	Key West / Florida	19.05.1980	CDR	Ret. ??.04.1995	4	33	21	29	married	 	USA	 	 
Ride	Sally Kristen	26.05.1951	Los Angeles / California	16.01.1978	MSP	Ret. 15.08.1987	2	14	7	47	divorced	 	USA	23.07.2012	La Jolla / California
Rij	Jerry Jerome	23.02.1950	Elizabeth / New Jersey	??.08.1979	MSE	Ret. ??.08.1985	 	0	0	0	married	two	USA	 	 
Roberts	Katherine Eileen Sparks	25.06.1954	Wichita / Kansas	??.09.1982	MSE	Ret. ??.??.1987	 	0	0	0	married	 	USA	 	 
Robinson	Stephen Kern	26.10.1955	Sacramento / California	08.12.1994	MSP	Ret. 30.06.2012	4	48	9	48	single	 	USA	 	 
Rogers	Russel Lee	12.04.1928	Lawrence / Kansas	20.09.1962	PLT	Ret. 10.12.1963	 	0	0	0	married	four	USA	13.09.1967	Kadena AFB / Okinawa, JAPAN
Rominger	Kent Vernon	07.08.1956	Del Norte / Colorado	31.03.1992	CDR	Ret. 30.09.2006	5	67	2	54	married	one	USA	 	 
Ronney	Paul David	01.05.1957	Los Angeles / California	??.02.1996	PSP	Ret. 17.07.1997	 	0	0	0	married	 	USA	 	 
Roosa	Stuart Allen "Stu"	16.08.1933	Durango / Colorado	04.04.1966	CMP	Ret. 01.02.1976	1	9	0	1	married	four	USA	12.12.1994	Falls Church / Virginia
Ross	Jerry Lynn	20.01.1948	Crown Point / Indiana	19.05.1980	MSP	Ret. 20.01.2012	7	58	0	51	married	two	USA	 	 
Rubins	Kathleen Hallisey "Kate"	14.10.1978	Farmington / Connecticut	29.06.2009	MSP	active	2	300	1	31	married	 	USA	 	 
Rubio	Francisco Carlos "Frank"	11.12.1976	Los Angeles / California	07.06.2017	PLT	active	 	0	0	0	married	four	USA	 	 
Runco	Mario, Jr. "Trooper"	26.01.1952	Bronx / New York	05.06.1987	MSP	Ret. 27.06.2002	3	22	23	7	married	two	USA	 	 
Rushworth	Robert Aitken	09.10.1924	Madison / Maine	??.??.1958	PLT	Ret. 01.07.1966	 	0	0	0	married	one	USA	18.03.1993	Camarillo / California
Sacco	Albert, Jr. "Al"	03.05.1949	Boston / Massachusetts	06.08.1990	PSP	Ret. 05.11.1995	1	15	21	52	married	four	USA	 	 
Satcher	Robert Lee, Jr. "Bobby"	22.09.1965	Hampton / Virginia	06.05.2004	MSP	Ret. 09.09.2011	1	10	19	16	married	two	USA	 	 
Schirra	Walter Marty, Jr. "Wally"	12.03.1923	Hackensack / New Jersey	02.04.1959	CDR	Ret. 01.07.1969	3	12	7	13	married	two	USA	03.05.2007	San Diego / California
Schmitt	Harrison Hagan "Jack"	03.07.1935	Santa Rita / New Mexico	28.06.1965	LMP	Ret. 30.08.1975	1	12	13	52	married	 	USA	 	 
Schweickart	Russell Louis "Rusty"	25.10.1935	Neptune / New Jersey	17.10.1963	LMP	Ret. 01.07.1979	1	10	1	0	divorced	five	USA	 	 
Scobee	Francis Richard "Dick"	19.05.1939	Cle Elum / Washington	16.01.1978	CDR	died 28.01.1986	1	6	23	40	married	two	USA	28.01.1986	Cape Canaveral / Florida
Scott	David Randolph	06.06.1932	San Antonio / Texas	17.10.1963	CDR	Ret. 30.10.1977	3	22	18	53	married	two	USA	 	 
Scott	Winston Elliott	06.08.1950	Miami / Florida	31.03.1992	MSP	Ret. 31.07.1999	2	24	14	34	married	two	USA	 	 
Scully-Power	Paul Desmond	28.05.1944	Sydney / Australia	??.06.1984	PSP	Ret. 13.10.1984	1	8	5	23	married	six	USA	 	 
Searfoss	Richard Alan	05.06.1956	Mount Clemens / Michigan	17.01.1990	CDR	Ret. 31.12.1998	3	39	3	18	married	three	USA	29.09.2018	Bear Valley Springs / California
Seddon	Margaret Rhea	08.11.1947	Murfreesboro / Tennessee	16.01.1978	MSP	Ret. 23.02.1998	3	30	2	21	married	three	USA	 	 
See	Elliot McKay, Jr.	23.07.1927	Dallas / Texas	17.09.1962	CDR	died 28.02.1966	 	0	0	0	married	three	USA	28.02.1966	St. Louis / Missouri
Sefchek	Paul Andrew	07.07.1946	Perth Amboy / New Jersey	??.08.1979	MSE	Ret. ??.08.1985	 	0	0	0	married	 	USA	24.07.1997	Rancho Palos Verdes / California
Sega	Ronald Michael	04.12.1952	Cleveland / Ohio	17.01.1990	MSP	Ret. 01.07.1996	2	17	12	25	married	two	USA	 	 
Sellers	Piers John	11.04.1955	Crowborough / England	01.05.1996	MSP	Ret. 05.06.2011	3	35	9	2	married	two	USA	23.12.2016	Houston / Texas
Sembroski	Christopher Steven	28.08.1979	Kannapolis, North Carolina	??.??.20??	Tourist	Ret. 18.09.2021	1	2	23	3	married	two	USA	 	 
Shaw	Brewster Hopkinson, Jr.	16.05.1945	Cass City / Michigan	16.01.1978	CDR	Ret. ??.10.1989	3	22	5	51	married	three	USA	 	 
Shepard	Alan Bartlett, Jr. "Al"	18.11.1923	East Derry / New Hampshire	02.04.1959	CDR	Ret. 01.08.1974	1	9	0	1	married	two	USA	21.07.1998	Monterey / California
Shepherd	William McMichael	26.07.1949	Oak Ridge / Tennessee	23.05.1984	MSP	Ret. 14.08.2002	4	159	7	49	married	 	USA	 	 
Shriver	Loren James	23.09.1944	Jefferson / Iowa	16.01.1978	CDR	Ret. ??.05.1993	3	16	2	4	married	four	USA	 	 
Simon	George Warren	22.04.1934	Frankfurt/M. / Germany	09.08.1978	PSP	Ret. 06.08.1985	 	0	0	0	married	three	USA	 	 
Simonyi	Charles "Károly"	10.09.1948	Budapest / Hungaria	??.04.2006	UKP	Ret. 21.04.2007	2	26	14	25	married	 	USA	 	 
Skantze	Lawrence Albert	24.06.1928	Bronx / New York	??.08.1985	PSP	Ret. ??.??.1986	 	0	0	0	widowed	three	USA	18.06.2018	McLean / Virginia
Slayton	Donald Kent "Deke"	01.03.1924	Sparta / Wisconsin	02.04.1959	DMP	Ret. 27.02.1982	1	9	1	28	married	one	USA	13.06.1993	League City / Texas
Smith	Michael John	30.04.1945	Beaufort / North Carolina	19.05.1980	PLT	died 28.01.1986	 	0	0	0	married	three	USA	28.01.1986	Cape Canaveral / Florida
Smith	Steven Lee	30.12.1958	Phoenix / Arizona	31.03.1992	MSP	Ret. ??.01.2005	4	40	0	15	married	two	USA	 	 
Sponable	Jess Mitchell	29.11.1955	Madrid / Spain	??.09.1982	MSE	Ret. ??.??.1987	 	0	0	0	married	one	USA	 	 
Spring	Sherwood Clark "Woody"	03.09.1944	Hartford / Connecticut	19.05.1980	MSP	Ret. ??.08.1988	1	6	21	4	married	two	USA	 	 
Springer	Robert Clyde	21.05.1942	St. Louis / Missouri	19.05.1980	MSP	Ret. ??.12.1990	2	9	21	32	married	three	USA	 	 
Stafford	Thomas Patten "Tom"	17.09.1930	Weatherford / Oklahoma	17.09.1962	CDR	Ret. 01.11.1975	4	21	3	42	married	two	USA	 	 
Staib	David Paul, Jr.	20.06.1955	Fort Campbell / Kentucky	??.09.1985	MSE	Ret. ??.07.1988	 	0	0	0	married	one	USA	 	 
Stefanyshyn-Piper	Heidemarie Martha	07.02.1963	St. Paul / Minnesota	01.05.1996	MSP	Ret. ??.07.2009	2	27	15	35	married	one	USA	 	 
Stevenson	Robert Everett	15.01.1921	Fullerton / California	13.06.1984	PSP	Ret. ??.??.1984	 	0	0	0	married	two	USA	12.08.2001	Princeville / Hawaii
Stewart	Robert Lee	13.08.1942	Washington D.C.	16.01.1978	MSP	Ret. ??.01.1986	2	12	0	59	married	two	USA	 	 
Still-Kilrain	Susan Leigh	24.10.1961	Augusta / Georgia	08.12.1994	PLT	Ret. ??.12.2002	2	19	15	56	married	one	USA	 	 
Stott	Nicole Marie Passonno	19.11.1962	Albany / New York	26.07.2000	MSP	Ret. 31.05.2015	2	103	5	48	married	one	USA	 	 
Sturckow	Frederick Wilford "Rick"	11.08.1961	La Mesa / California	08.12.1994	CDR	Ret. ??.03.2013	4	51	9	34	married	two	USA	 	 
Sullivan	Kathryn Dwyer	03.10.1951	Paterson / New Jersey	16.01.1978	MSP	Ret. ??.06.1993	3	22	4	49	single	 	USA	 	 
Sundberg	Eric Edward	10.04.1945	Tonopah / Nevada	??.08.1979	MSE	Ret. ??.08.1985	 	0	0	0	married	two	USA	 	 
Swanson	Steven Ray "Swanny"	03.12.1960	Syracuse / New York	04.06.1998	MSP	Ret. 30.08.2015	3	195	20	45	married	three	USA	 	 
Swigert	John Leonard, Jr. "Jack"	30.08.1931	Denver / Colorado	04.04.1966	CMP	Ret. ??.04.1973	1	5	22	54	single	 	USA	27.12.1982	Washington D.C.
Tani	Daniel Michio	01.02.1961	Ridley Park / Pennsylvania	01.05.1996	MSP	Ret. ??.08.2012	2	131	18	4	married	three	USA	 	 
Tanner	Joseph Richard "Joe"	21.01.1950	Danville / Illinois	31.03.1992	MSP	Ret. ??.09.2008	4	43	13	14	married	two	USA	 	 
Taylor	James Martin	27.11.1930	Stamps / Arkansas	12.11.1965	PLT	Ret. 10.06.1969	 	0	0	0	married	three	USA	04.09.1970	Palmdale / California
Thagard	Norman Earl	03.07.1943	Marianna / Florida	16.01.1978	MSP	Ret. 03.01.1996	5	140	13	25	married	three	USA	 	 
Thomas	Andrew Sydney Withiel	18.12.1951	Adelaide / Australia	31.03.1992	MSP	Ret. ??.12.2010	4	177	9	13	married	 	USA	 	 
Thomas	Donald Alan	06.05.1955	Cleveland / Ohio	17.01.1990	MSP	Ret. ??.07.2007	4	43	8	11	married	one	USA	 	 
Thompson	Milton Orville	04.05.1926	Crookston / Minnesota	20.09.1962	PLT	Ret. 28.05.1965	 	0	0	0	married	five	USA	06.08.1993	Lancaster / California
Thompson	William David	14.01.1956	Charleston / West Virginia	??.09.1982	MSE	Ret. ??.??.1987	 	0	0	0	married	 	USA	 	 
Thorne	Stephen Douglas	11.02.1953	Frankfurt/M. / Germany	04.06.1985	PLT	died 24.05.1986	 	0	0	0	married	 	USA	24.05.1986	Alta Loma / Texas
Thornton	Kathryn Ryan Cordell	17.08.1952	Montgomery / Alabama	23.05.1984	MSP	Ret. 01.08.1996	4	40	15	13	married	five	USA	 	 
Thornton	William Edgar	14.04.1929	Faison / North Carolina	04.08.1967	MSP	Ret. 31.05.1994	2	13	1	16	married	two	USA	11.01.2021	Boerne / Texas
Thuot	Pierre Joseph	19.05.1955	Groton / Connecticut	04.06.1985	MSP	Ret. ??.06.1995	3	27	6	51	married	two	USA	 	 
Tingle	Scott David "Maker"	19.07.1965	Attleboro / Massachusetts	29.06.2009	PLT	active	1	168	5	18	married	three	USA	 	 
Tito	Dennis Anthony	08.08.1940	Queens / New York	09.10.2000	UKP	Ret. 06.05.2001	1	7	22	4	married	three	USA	 	 
Tittle	Theresa Mary Stevens	25.11.1960	Springfield / Massachusetts	??.09.1985	MSE	Ret. ??.07.1988	 	0	0	0	married	 	USA	 	 
Townsend	Ronald Dean	19.06.1948	Concordia / Kansas	??.11.1985	PSP	Ret. ??.??.1986	 	0	0	0	married	 	USA	 	 
Trinh	Eugene Huu-Chau "Gene"	14.09.1950	Saigon / Vietnam	05.06.1983	PSP	Ret. 09.07.1992	1	13	19	30	married	one	USA	 	 
Truly	Richard Harrison "Dick"	12.11.1937	Fayette / Mississippi	12.11.1965	CDR	Ret. 01.10.1983	2	8	7	21	married	three	USA	 	 
Vande Hei	Mark Thomas	10.11.1966	Falls Church / Virginia	29.06.2009	MSP	active	2	523	8	59	married	two	USA	 	 
van den Berg	Lodewijk	24.03.1932	Sluiskil / Netherlands	05.06.1983	PSP	Ret. 06.05.1985	1	7	0	8	married	two	USA	 	 
van Hoften	James Dougal Adrianus "Ox"	11.06.1944	Fresno / California	16.01.1978	MSP	Ret. 01.08.1986	2	14	1	57	married	three	USA	 	 
Vangen	Scott Duane	12.12.1959	Granite Falls / Minnesota	??.05.1993	PSP	Ret. 18.03.1995	 	0	0	0	single	 	USA	 	 
Veach	Charles Lacy	18.09.1944	Chicago / Illinois	23.05.1984	MSP	died 03.10.1995	2	18	4	18	married	two	USA	03.10.1995	Houston / Texas
Vidrine	David Matthew	21.11.1943	Ville Platte / Louisiana	??.08.1979	MSE	Ret. ??.08.1985	 	0	0	0	married	two	USA	 	 
Virts	Terry Wayne, Jr.	01.12.1967	Baltimore / Maryland	26.07.2000	PLT	Ret. 23.08.2016	2	213	10	48	married	two	USA	 	 
Voss	James Shelton	03.03.1949	Cordova / Alabama	05.06.1987	MSP	Ret. ??.06.2003	5	202	5	26	married	one	USA	 	 
Voss	Janice Elaine	08.10.1956	South Bend / Indiana	17.01.1990	MSP	died 06.02.2012	5	49	3	46	divorced	 	USA	06.02.2012	Scottsdale / Arizona
Walheim	Rex Joseph	10.10.1962	Redwood City / California	01.05.1996	MSP	Ret. 28.06.2018	3	36	8	31	married	two	USA	 	 
Walker	Charles David	29.08.1948	Bedford / Indiana	01.07.1983	PSP	Ret. 03.12.1985	3	19	21	56	married	one	USA	 	 
Walker	David Mathieson	20.05.1944	Columbus / Georgia	16.01.1978	CDR	Ret. 15.04.1996	4	30	4	27	married	two	USA	23.04.2001	Houston / Texas
Walker	Joseph Albert	20.02.1921	Washington / Pennsylvania	??.??.1960	PLT	Ret. 22.08.1963	 	0	0	0	married	four	USA	08.06.1966	Barstow / California
Walker	Shannon	04.06.1965	Houston / Texas	06.05.2004	MSP	active	2	330	13	40	married	 	USA	 	 
Walz	Carl Erwin	06.09.1955	Cleveland / Ohio	17.01.1990	MSP	Ret. 05.12.2008	4	230	13	2	married	two	USA	 	 
Wang	Taylor Gun-Jin	16.06.1940	Shanghai / China	05.06.1983	PSP	Ret. 06.05.1985	1	7	0	8	married	two	USA	 	 
Watkins	Jessica Andrea	14.05.1988	Gaithersburg / Maryland	07.06.2017	PLT	active	1	0	0	0	 	 	USA	 	 
Watterson	John Brett	10.09.1949	Garden City / New York	??.08.1979	MSE	Ret. ??.06.1986	 	0	0	0	married	one	USA	 	 
Weaver	Carol Lynn Belt	30.01.1953	Red Oak / Iowa	??.03.1988	PSP	Ret. ??.??.????	 	0	0	0	married	 	USA	 	 
Weber	Mary Ellen	24.08.1962	Cleveland / Ohio	31.03.1992	MSP	Ret. ??.12.2002	2	18	18	29	married	 	USA	 	 
Weitz	Paul Joseph	25.07.1932	Erie / Pennsylvania	04.04.1966	CDR	Ret. ??.03.1988	2	33	1	13	married	two	USA	23.10.2017	Flagstaff / Arizona
Wetherbee	James Donald "Wexbee"	27.11.1952	Flushing / New York	23.05.1984	CDR	Ret. 03.01.2005	6	66	10	20	married	two	USA	 	 
Wheelock	Douglas Harry	05.05.1960	Binghamton / New York	04.06.1998	MSP	active	2	178	9	34	married	one	USA	 	 
White	Edward Higgins II	14.11.1930	San Antonio / Texas	17.09.1962	PLT	died 27.01.1967	1	4	1	56	married	two	USA	27.01.1967	Cape Canaveral / Florida
White	Robert Michael	06.07.1924	New York / New York	??.??.1960	PLT	Ret. 14.12.1962	 	0	0	0	married	four	USA	17.03.2010	Orlando / Florida
Whitson	Peggy Annette	09.02.1960	Mt. Ayr / Iowa	01.05.1996	MSP	Ret. 15.06.2018	3	665	22	22	married	 	USA	 	 
Wilcutt	Terrence Wade	31.10.1949	Russellville / Kentucky	17.01.1990	CDR	Ret. ??.02.2005	4	42	0	1	married	two	USA	 	 
Williams	Bill Alvin	09.02.1942	Oakland / California	15.09.1983	PSP	Ret. 11.02.1985	 	0	0	0	married	four	USA	 	 
Williams	Christopher Leigh	??.10.1983	New York City, New York	06.12.2021	PLT	active	 	0	0	0	 	 	USA	 	 
Williams	Clifton Curtis "CC"	26.09.1932	Mobile / Alabama	17.10.1963	PLT	died 05.10.1967	 	0	0	0	married	two	USA	05.10.1967	Tallahassee / Florida
Williams	Donald Edward	13.02.1942	Lafayette / Indiana	16.01.1978	CDR	Ret. 01.03.1990	2	11	23	34	married	two	USA	23.02.2016	Henderson / Nevada
Williams	Jeffrey Nels	18.01.1958	Superior / Wisconsin	01.05.1996	MSP	Ret. ??.07.2020	4	534	2	48	married	two	USA	 	 
Williams	Sunita Lyn "Suni"	19.09.1965	Euclid / Ohio	04.06.1998	MSP	active	2	321	17	15	married	 	USA	 	 
Wilmore	Barry Eugene "Butch"	29.12.1962	Murfreesboro / Tennessee	26.07.2000	PLT	active	2	178	0	58	married	 	USA	 	 
Wilson	Stephanie Diana	27.09.1966	Boston / Massachusetts	01.05.1996	MSP	active	3	42	23	46	married	 	USA	 	 
Wiseman	Gregory Reid	11.11.1975	Baltimore / Maryland	29.06.2009	PLT	active	1	165	8	1	married	two	USA	 	 
Wisoff	Peter Jeffrey Kelsay "Jeff"	16.08.1958	Norfolk / Virginia	17.01.1990	MSP	Ret. 21.09.2001	4	44	8	7	married	 	USA	 	 
Wittner	Jessica Owens	15.03.1983	Fresno, California	06.12.2021	PLT	active	 	0	0	0	married	 	USA	 	 
Wolf	David Alexander "Bluto"	23.08.1956	Indianapolis / Indiana	17.01.1990	MSP	Ret. ??.??.20??	4	168	8	55	married	 	USA	 	 
Wood	James Wayne	09.08.1924	Paragould / Arkansas	20.09.1962	PLT	Ret. 10.12.1963	 	0	0	0	married	three	USA	01.01.1990	Melbourne / Florida
Wood	Robert Jackson	26.06.1957	Fitchburg / Massachusetts	??.03.1985	PSP	Ret. ??.01.1986	 	0	0	0	married	five	USA	19.02.2009	St. Charles County / Missouri
Woodward	Neil Whitney III	26.07.1962	Chicago / Illinois	04.06.1998	MSP	Ret. ??.07.2008	 	0	0	0	married	 	USA	 	 
Worden	Alfred Merrill	07.02.1932	Jackson / Michigan	04.04.1966	CMP	Ret. 01.09.1975	1	12	7	12	married	three	USA	18.03.2020	Houston / Texas
Wright	Keith Charles	31.08.1947	St. Louis / Missouri	??.08.1979	MSE	Ret. ??.05.1985	 	0	0	0	married	two	USA	 	 
Yeakel	Glenn Scott	28.05.1956	Allentown / Pennsylvania	??.09.1982	MSE	Ret. ??.07.1988	 	0	0	0	divorced	 	USA	 	 
Young	John Watts	24.09.1930	San Francisco / California	17.09.1962	CDR	Ret. 31.12.2004	6	34	19	39	married	two	USA	05.01.2018	Houston / Texas
Young	Laurence Retman	19.12.1935	New York City	??.12.1991	PSP	Ret. 01.11.1993	 	0	0	0	married	three	USA	04.08.2021	Cambridge / Massachusetts
Zamka	George David "Zambo"	29.06.1962	Jersey City / New Jersey	04.06.1998	CDR	Ret. ??.08.2011	2	28	20	29	married	two	USA
